Date,Commit,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2015-12-14T19:03:24+01:00,"b6632eebd218b55b85ef809fc83ecb3488b69e0a","4","7","161","0.26315789473684","4","157","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","4","0","4","0","0","0"
2015-12-20T11:08:09+01:00,"457472179842fb6f3cd0e1f3fe9f9fb472e639df","6","13","311","0.37254901960784","4","307","51","48","0","0","0","1","0","1","3","1","1","0","1","0","3","0","0","0","0","0","5","5","0","1","1","0","11","11","0","17","0","13","4","0","0"
2015-12-20T14:16:51+01:00,"6f275f0469050fcc3e9984bb6a05f848742b1e7a","6","14","328","0.37254901960784","4","324","51","48","0","0","0","2","0","2","3","1","1","0","1","0","3","0","0","0","0","0","5","5","0","1","1","0","11","11","0","17","0","13","4","0","0"
2015-12-20T15:15:56+01:00,"5a3ec85726ce84e87b8d3596307b1cddca56821a","11","79","16856","0.27665257066548","5590","11266","4493","926","1","0","0","15","0","15","2580","332","316","16","268","64","4.2048192771084","21","19","2","987","47","44","13","31","2088","2088","0","1340","1279","61","64","0","58","6","2","57"
2015-12-22T18:00:57+01:00,"00fe92eb52fb25ec2b5486f4c404aacbb59e9081","8","51","7837","0.34658454647256","2294","5543","1786","163","0","0","0","9","0","9","1331","168","157","11","136","32","4.4166666666667","7","7","0","292","41.714285714286","22","7","15","689","683","6","419","405","14","49","1","39","9","0","0"
2015-12-22T20:33:10+01:00,"2c5680707aac14b9ee80e56b23fe47d289d5bc1b","8","51","7934","0.34770591487009","2304","5630","1809","193","0","0","0","9","0","9","1331","168","157","11","136","32","4.4166666666667","6","6","0","285","47.5","22","7","15","689","683","6","425","410","15","56","1","46","9","0","0"
2015-12-22T22:34:32+01:00,"6986991a954e164dd73fd8dd2e1627cc4aa8409c","8","51","7935","0.34736842105263","2305","5630","1805","189","0","0","0","9","0","9","1331","168","157","11","136","32","4.4166666666667","6","6","0","285","47.5","22","7","15","689","683","6","425","410","15","53","1","43","9","0","0"
2015-12-28T09:58:39+01:00,"08a5c1e56641a8d0034c4a40f6eff5530cbfef52","8","53","8185","0.35069817400644","2317","5868","1862","246","0","0","0","9","0","9","1331","168","157","11","136","32","4.4166666666667","6","6","0","285","47.5","23","8","15","692","686","6","444","429","15","73","1","57","15","0","0"
2015-12-28T10:48:24+01:00,"1845ccd64c954cfd78d6457983a4f1de7bc1152e","8","52","8849","0.35910224438903","2362","6487","2005","389","0","0","0","9","0","9","1331","168","157","11","136","32","4.4166666666667","6","6","0","285","47.5","23","8","15","692","686","6","491","476","15","106","1","88","17","0","0"
2015-12-28T14:46:23+01:00,"15fdc08e0b3badcfc740fe76c8379c2ff23cf55a","8","52","8876","0.35770750988142","2361","6515","2024","391","0","0","0","9","0","9","1348","168","157","11","135","33","4.4285714285714","6","6","0","285","47.5","23","8","15","693","687","6","498","482","16","106","1","88","17","0","0"
2015-12-28T14:48:17+01:00,"03af6bd65c1e840918ff3d211ceb000b237fa23f","8","52","8876","0.35770750988142","2361","6515","2024","391","0","0","0","9","0","9","1348","168","157","11","135","33","4.4285714285714","6","6","0","285","47.5","23","8","15","693","687","6","498","482","16","106","1","88","17","0","0"
2015-12-28T15:34:28+01:00,"fced8188604df492db331bff9785075649b37650","7","32","7531","0.42779456193353","2361","5170","1655","307","0","0","0","9","0","9","1348","168","157","11","135","33","4.4285714285714","0","0","0","0","0","23","8","15","693","687","6","498","482","16","98","1","80","17","0","0"
2015-12-28T16:50:21+01:00,"c274d001a1676da7a50499cf63613209a585ce13","6","31","7529","0.42796610169492","2373","5156","1652","304","0","0","0","9","0","9","1348","168","157","11","135","33","4.4285714285714","0","0","0","0","0","23","8","15","693","687","6","498","482","16","98","1","80","17","0","0"
2015-12-29T18:28:00+01:00,"a075d946bcd67ce0fdedc8576906ae7e8872f41f","6","31","7529","0.42796610169492","2373","5156","1652","304","0","0","0","9","0","9","1348","168","157","11","135","33","4.4285714285714","0","0","0","0","0","23","8","15","693","687","6","498","482","16","98","1","80","17","0","0"
2015-12-29T18:45:02+01:00,"a6bd61ee596a839cd876b08b90e19d7cd0c1b86a","6","32","7719","0.42321428571429","2425","5294","1680","304","0","0","0","10","0","10","1376","173","161","12","140","33","4.3526011560694","0","0","0","0","0","23","8","15","693","687","6","498","482","16","98","1","80","17","0","0"
2015-12-29T19:16:22+01:00,"6ba86ddda2722d158812f893ea624609e6bf7796","6","33","7810","0.42040094339623","2430","5380","1696","320","0","0","0","10","0","10","1376","173","161","12","140","33","4.3526011560694","0","0","0","0","0","23","8","15","693","687","6","507","491","16","100","1","82","17","0","0"
2015-12-29T20:18:14+01:00,"d211d866a8d6bdcdde2ba161199f81e23a06cca5","6","33","7825","0.41950646298472","2432","5393","1702","326","0","0","0","10","0","10","1376","173","161","12","140","33","4.3526011560694","0","0","0","0","0","23","8","15","693","687","6","511","495","16","101","1","83","17","0","0"
2015-12-29T21:12:07+01:00,"57c3de83185c031e2d46330f781e813a000bf479","6","33","7825","0.41950646298472","2432","5393","1702","326","0","0","0","10","0","10","1376","173","161","12","140","33","4.3526011560694","0","0","0","0","0","23","8","15","693","687","6","511","495","16","101","1","83","17","0","0"
